contract,edition,token_id,token_id_db,old_metadata_cid,doc_file
0x2a86c5466f088caebf94e071a77669bae371cd87,1,44336782902772445271281414922165901279839521989210301461051430933994537843288,44336782902772445271281414922165901279839521989210301461051430933994537843288,QmeZkLqgY3pEozdNFqiVVyvgrjhgJCUUvvro4wnVrYSjhf,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/44336782902772445271281414922165901279839521989210301461051430933994537843288.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,45127790317892297463290330756789683137919514630173258349099212122291675493583,45127790317892297463290330756789683137919514630173258349099212122291675493583,QmVJGCNjWQtBZUVb8nSQw1VznXvet7UGz9V6M9PY9nyZUV,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/45127790317892297463290330756789683137919514630173258349099212122291675493583.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,58808081037102973047914285344327235059767077645065607051796863932382238600161,58808081037102973047914285344327235059767077645065607051796863932382238600161,QmSxz9LQcyhQZTDb6FQsS7ynvxCYp6qv49ZrDnZHNMAtYZ,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/58808081037102973047914285344327235059767077645065607051796863932382238600161.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,69037219782415170039743351977361926117918379142220489214116017537486336548225,69037219782415170039743351977361926117918379142220489214116017537486336548225,QmNMrvPwgHgHvBpRDLy5pCfXXChENdFS8zr12JcvRsv2Pm,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/69037219782415170039743351977361926117918379142220489214116017537486336548225.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,81822415981171894284716765232211393989809838876971274183632474922438819548893,81822415981171894284716765232211393989809838876971274183632474922438819548893,QmURZy5P2A1yzGiiUsdnakGX8g6DKNkQdP9G1vn4uCbEg6,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/81822415981171894284716765232211393989809838876971274183632474922438819548893.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,84192194988336887268297181860741868331806134895311371625270671533240495509720,84192194988336887268297181860741868331806134895311371625270671533240495509720,QmVZzRBEHrmh61K9BXAAQtaCmjyBQ1WB36uCXbKtVxaCVr,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/84192194988336887268297181860741868331806134895311371625270671533240495509720.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,91641052224213995292130106305607107853658918792519691461793480796244015798258,91641052224213995292130106305607107853658918792519691461793480796244015798258,QmNNmF2bwErvGGLofU4BBcfZKJeRBzpEM6EdFvKEYpbtTD,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/91641052224213995292130106305607107853658918792519691461793480796244015798258.json
0x2a86c5466f088caebf94e071a77669bae371cd87,10,114509197042641126982266828896949519237122822493274123627313583916128762606687,114509197042641126982266828896949519237122822493274123627313583916128762606687,QmaAM7fp6GJL5pfBLTthEe7toH7iG239oaUeq5YvrHzSzw,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/114509197042641126982266828896949519237122822493274123627313583916128762606687.json
0x2a86c5466f088caebf94e071a77669bae371cd87,10,15042014439770355205730296321097090521853295916950766059900103364979980239539,15042014439770355205730296321097090521853295916950766059900103364979980239539,QmVU2CH3Cn9ZRZKAHPLufrpUa4yhVGgXK5fKNN67zFPqsd,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/15042014439770355205730296321097090521853295916950766059900103364979980239539.json
0x2a86c5466f088caebf94e071a77669bae371cd87,10,25811853076941608055270457512038717433705462539422789705262203111341130500770,25811853076941608055270457512038717433705462539422789705262203111341130500770,QmRMMVfu94sC8D8GNanP8KcLjYjiUQR75KHCaTjFLfeJ12,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500770.json
0x2a86c5466f088caebf94e071a77669bae371cd87,10,45127790317892297463290330756789683137919514630173258349099212122291675493592,45127790317892297463290330756789683137919514630173258349099212122291675493592,QmXBBZCEQUCbkNJYLxBBdstWeTeaq88yRSN7kTwdSCKtFD,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/45127790317892297463290330756789683137919514630173258349099212122291675493592.json
0x2a86c5466f088caebf94e071a77669bae371cd87,100,25811853076941608055270457512038717433705462539422789705262203111341130500860,25811853076941608055270457512038717433705462539422789705262203111341130500860,QmVku2Y14cTMvFpxTu5gSXGMg8QVHciTdv1TBoKvs6uJ5A,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500860.json
0x2a86c5466f088caebf94e071a77669bae371cd87,101,25811853076941608055270457512038717433705462539422789705262203111341130500861,25811853076941608055270457512038717433705462539422789705262203111341130500861,QmWCDQF9h52ZJBHQABgq2GKGBDyfPMaYCUfSFmz2nkoWRs,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500861.json
0x2a86c5466f088caebf94e071a77669bae371cd87,102,25811853076941608055270457512038717433705462539422789705262203111341130500862,25811853076941608055270457512038717433705462539422789705262203111341130500862,Qma3XF1Rnr5P2xNCG4yE8qCeGP2KrpkxP8hvL2uVBqW5kr,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500862.json
0x2a86c5466f088caebf94e071a77669bae371cd87,103,25811853076941608055270457512038717433705462539422789705262203111341130500863,25811853076941608055270457512038717433705462539422789705262203111341130500863,QmdY7eBhMMJ9gLzjZuFF8z8AFLgQBeHuJUGxtkWQd5qRuR,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500863.json
0x2a86c5466f088caebf94e071a77669bae371cd87,104,25811853076941608055270457512038717433705462539422789705262203111341130500864,25811853076941608055270457512038717433705462539422789705262203111341130500864,QmVYwQMawi2Wmt8faLqgabLePcoHYgohj4MKQRKFYSvifM,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500864.json
0x2a86c5466f088caebf94e071a77669bae371cd87,105,25811853076941608055270457512038717433705462539422789705262203111341130500865,25811853076941608055270457512038717433705462539422789705262203111341130500865,QmYrFRh9RK4DbPMqY91d3FQeEWWcm2G27RU2h8HwNQhh7T,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500865.json
0x2a86c5466f088caebf94e071a77669bae371cd87,106,25811853076941608055270457512038717433705462539422789705262203111341130500866,25811853076941608055270457512038717433705462539422789705262203111341130500866,QmVRTsCFhvoMmerTEHsX7SsjcxAhByaZdYNQcmByBbQ4n7,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500866.json
0x2a86c5466f088caebf94e071a77669bae371cd87,107,25811853076941608055270457512038717433705462539422789705262203111341130500867,25811853076941608055270457512038717433705462539422789705262203111341130500867,QmYEEfRbuNWehLmbR8j244wyynvHFHZ9twFzZDbgCrUpT8,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500867.json
0x2a86c5466f088caebf94e071a77669bae371cd87,108,25811853076941608055270457512038717433705462539422789705262203111341130500868,25811853076941608055270457512038717433705462539422789705262203111341130500868,QmYPSuQo6ncXL5SpjEfQnW9WvRsud4fMnwN2NxWNBMGLQX,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500868.json
0x2a86c5466f088caebf94e071a77669bae371cd87,109,25811853076941608055270457512038717433705462539422789705262203111341130500869,25811853076941608055270457512038717433705462539422789705262203111341130500869,QmcdBiehW2WaKCBR6SZT8hFRWQD9gjd99v4SrpB5prDZXR,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500869.json
0x2a86c5466f088caebf94e071a77669bae371cd87,11,15042014439770355205730296321097090521853295916950766059900103364979980239540,15042014439770355205730296321097090521853295916950766059900103364979980239540,QmSbrQfqKiLm6PHhRhwZRLTmDLaRWJNY4LaQD9SarwHf3U,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/15042014439770355205730296321097090521853295916950766059900103364979980239540.json
0x2a86c5466f088caebf94e071a77669bae371cd87,11,25811853076941608055270457512038717433705462539422789705262203111341130500771,25811853076941608055270457512038717433705462539422789705262203111341130500771,QmWaA7uZkp2uXp4AfYdkq51ExSruWu1jpcyBNNUe76SrJB,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500771.json
0x2a86c5466f088caebf94e071a77669bae371cd87,110,25811853076941608055270457512038717433705462539422789705262203111341130500870,25811853076941608055270457512038717433705462539422789705262203111341130500870,QmaWe7pKXqe8pX2Yg1bCP2NmNFvBLgbzMXWmYWM7sPbpFQ,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500870.json
0x2a86c5466f088caebf94e071a77669bae371cd87,111,25811853076941608055270457512038717433705462539422789705262203111341130500871,25811853076941608055270457512038717433705462539422789705262203111341130500871,QmRePutqQ1J9FiS7EeKn8F5F6sQwHR4NfT9zqs4nSBMVDt,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500871.json
0x2a86c5466f088caebf94e071a77669bae371cd87,112,25811853076941608055270457512038717433705462539422789705262203111341130500872,25811853076941608055270457512038717433705462539422789705262203111341130500872,QmeiqfgaTbSJQumD2hkDaRR2JAUfYrhV32dXvS7cAu9FGh,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500872.json
0x2a86c5466f088caebf94e071a77669bae371cd87,113,25811853076941608055270457512038717433705462539422789705262203111341130500873,25811853076941608055270457512038717433705462539422789705262203111341130500873,QmPWyy6hkPbvWybtmSfYpdrUEYq4VfnFtatoif7z3pKkYT,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500873.json
0x2a86c5466f088caebf94e071a77669bae371cd87,114,25811853076941608055270457512038717433705462539422789705262203111341130500874,25811853076941608055270457512038717433705462539422789705262203111341130500874,QmULxdHfpWQJKHQNXSAdMctXYZY83c8x1nwsLzj7TkzF97,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500874.json
0x2a86c5466f088caebf94e071a77669bae371cd87,115,25811853076941608055270457512038717433705462539422789705262203111341130500875,25811853076941608055270457512038717433705462539422789705262203111341130500875,Qmdorhebs8XQobDCzxEJnv9SWFSeuU4i9XpoBsy2jVu8q7,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500875.json
0x2a86c5466f088caebf94e071a77669bae371cd87,116,25811853076941608055270457512038717433705462539422789705262203111341130500876,25811853076941608055270457512038717433705462539422789705262203111341130500876,QmQuuSTPScsGjdkW5tDj7fKUhrXg5ANgNeAPA1iMmGbmFH,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500876.json
0x2a86c5466f088caebf94e071a77669bae371cd87,117,25811853076941608055270457512038717433705462539422789705262203111341130500877,25811853076941608055270457512038717433705462539422789705262203111341130500877,QmSnCnYtrBW9zMnxRZKDc15QFUjQgpEtPpqrGArS63WZ3n,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500877.json
0x2a86c5466f088caebf94e071a77669bae371cd87,118,25811853076941608055270457512038717433705462539422789705262203111341130500878,25811853076941608055270457512038717433705462539422789705262203111341130500878,QmTEH7d1K1uaUAFGYxZbfUhYdEa4VH554RB5ZAgANXs3U3,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500878.json
0x2a86c5466f088caebf94e071a77669bae371cd87,119,25811853076941608055270457512038717433705462539422789705262203111341130500879,25811853076941608055270457512038717433705462539422789705262203111341130500879,QmbkFnr7TjtpvbATKncmjVcVh5bfq84JgVx2S98qWhMGNC,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500879.json
0x2a86c5466f088caebf94e071a77669bae371cd87,12,15042014439770355205730296321097090521853295916950766059900103364979980239541,15042014439770355205730296321097090521853295916950766059900103364979980239541,QmQenmcrvaz8NwHkbkFaATxF5SV1mH3vvRTnNLbK3ppfhV,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/15042014439770355205730296321097090521853295916950766059900103364979980239541.json
0x2a86c5466f088caebf94e071a77669bae371cd87,12,25811853076941608055270457512038717433705462539422789705262203111341130500772,25811853076941608055270457512038717433705462539422789705262203111341130500772,QmejmEQMR8kY8qmUprjBcsycZqJWRs5V2A9nF7bxhx98BX,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500772.json
0x2a86c5466f088caebf94e071a77669bae371cd87,120,25811853076941608055270457512038717433705462539422789705262203111341130500880,25811853076941608055270457512038717433705462539422789705262203111341130500880,QmfUTkSw2KSnH3VUxArH7ctWvq89wjrXbFcHz7EganUo8H,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500880.json
0x2a86c5466f088caebf94e071a77669bae371cd87,121,25811853076941608055270457512038717433705462539422789705262203111341130500881,25811853076941608055270457512038717433705462539422789705262203111341130500881,QmSgwZJsXS4DWZXFTVAwSdz17hk3T2s9gqrk4e9jKFTqHA,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500881.json
0x2a86c5466f088caebf94e071a77669bae371cd87,122,25811853076941608055270457512038717433705462539422789705262203111341130500882,25811853076941608055270457512038717433705462539422789705262203111341130500882,QmbhLc9UisqfJD6WxoyjhMtowMSqEMMoxSgE4AigcYdebF,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500882.json
0x2a86c5466f088caebf94e071a77669bae371cd87,123,25811853076941608055270457512038717433705462539422789705262203111341130500883,25811853076941608055270457512038717433705462539422789705262203111341130500883,QmP5jFBwwXsnz8RJbRgHo7FACLzu2VmafuXYTVLFnCpFuX,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500883.json
0x2a86c5466f088caebf94e071a77669bae371cd87,124,25811853076941608055270457512038717433705462539422789705262203111341130500884,25811853076941608055270457512038717433705462539422789705262203111341130500884,QmczGsYeRBsrKfk5YkR2ZQ4bVzF1ztPugQNgkMxcbrfXfE,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500884.json
0x2a86c5466f088caebf94e071a77669bae371cd87,125,25811853076941608055270457512038717433705462539422789705262203111341130500885,25811853076941608055270457512038717433705462539422789705262203111341130500885,QmS1qrkauGrLgXmgzYKQ9Qk7VH7GzFt1zdnPX6XpGwAqAY,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500885.json
0x2a86c5466f088caebf94e071a77669bae371cd87,126,25811853076941608055270457512038717433705462539422789705262203111341130500886,25811853076941608055270457512038717433705462539422789705262203111341130500886,QmYL2iTW82gogsgbhNhyB8RSdrLCFW5pAaYfBPJLi4vJN9,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500886.json
0x2a86c5466f088caebf94e071a77669bae371cd87,127,25811853076941608055270457512038717433705462539422789705262203111341130500887,25811853076941608055270457512038717433705462539422789705262203111341130500887,QmRFHGuPk56yhB1iRMx8tYFxsatfvh856ceS6xmWoVARGB,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500887.json
0x2a86c5466f088caebf94e071a77669bae371cd87,128,25811853076941608055270457512038717433705462539422789705262203111341130500888,25811853076941608055270457512038717433705462539422789705262203111341130500888,Qmdd42SktyPaaS3X2ufRw34nz8a5qXH8gkWFzpNrZeVur7,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500888.json
