cid,present_locally,pinned,note
QmWY2RoHe7wpyRoKa82XS3mS4SjQw3pRL19iuuTXATLMhF,yes,yes,already pinned
QmWdRQaapLKx6kRDRFY9ZgsQhyc1Uzg3bXLL2q2zja9HVJ,yes,yes,
QmWwZoKXXDDnznQEG1hx2mpuXuLUxLoFXMg4ZCtFbefQJk,yes,yes,
QmX6sjzj2sVq2fndLmSMjrfnZsTLP7U2bNQ6PyrSHhCHHG,yes,yes,
QmXEGJkmpezFQ4tkmJP6XP9b28U6AxzGumqDXbVacaeuE3,yes,yes,already pinned
QmXGNsZzbSxCnqsc62C6tSkS7wqJ1E6pWHESNzSKZCBoZ3,yes,yes,
QmXHf8NsjM6c15w2igE16ZbFf1MwA6yPuLPEzWD9G9GHsu,yes,yes,
QmXSQHstWtEUdLqD9YRWXkGw8AAUCgGy8W478LwjPzn7SL,yes,yes,
QmXbeaLFVdA8tHCHjTnLYZpJ66VLXZ75AoMyN22qayYwLU,yes,yes,
QmXepMmuTBgzpYbVJvRC3kHvKGgH3NiApZjxuCPcuBYAUQ,yes,yes,
QmXfeyTYVKkmF3HsdJYM6GAsUEVctUAcQhzCAXM9qg5xGH,yes,yes,
QmXmrxkqfxSxBUBDiYukFNqwTn7Yse4W4DmXs2RLEUCt4Q,yes,yes,
QmXs9Z4WFY19c3xQvjxDLgmfGAwJNDJyfdv56hA6jprNKH,yes,yes,
QmXxQajhaJ1YTaGMwpTmRNYozNQDedMSo85VaB6j7vxtdD,yes,yes,already pinned
QmYELtb4TptdmEmd2fW4D8U9KTzVmY8y65VWQJFWLec6bE,yes,yes,
QmYGhvEXfGvbieCPwFht28ortwJiJyPnzNRj76NQhhhatr,yes,yes,
QmYLeTmRvE1AnbodBT7ZKPYAnqJt5CqheXRoP6a2rW6nK7,yes,yes,
QmYPDh2AjXJnQgLE18JDXsnLZKyVapPPAFLXe8A5uzTUTz,yes,yes,
QmYSfGUCXryce1cWSVAxbtXemwhPgovqgzx9AtoBKdTpMM,yes,yes,already pinned
