chain,contract,token_id,exhibition,class,animation_or_artifact,image_or_display
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144717,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=12&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144752,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144765,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144767,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=62&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144745,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=40&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144774,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/18a13d7f-1d08-4a81-1125-ae2f78eb9700/thumbnailLarge
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144720,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=15&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144713,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/18a13d7f-1d08-4a81-1125-ae2f78eb9700/thumbnailLarge
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144737,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=32&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144744,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=39&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144766,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=61&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144746,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=41&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144773,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=68&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144753,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=48&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144716,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=11&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144768,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=63&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144770,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=65&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144731,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/18a13d7f-1d08-4a81-1125-ae2f78eb9700/thumbnailLarge
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144756,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=51&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144759,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=54&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144714,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=9&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144779,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=74&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144760,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=55&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144777,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=72&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144761,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=56&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030516,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=10&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030523,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=17&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030515,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=9&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030541,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=35&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030567,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=61&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030551,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/f2db8c40-a2fb-4a93-be03-75ce3b3133f3/1630436182/index.html,https://cdn.feralfileassets.com/thumbnails/f2db8c40-a2fb-4a93-be03-75ce3b3133f3/1630272481
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030561,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=55&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030579,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/f2db8c40-a2fb-4a93-be03-75ce3b3133f3/1630436182/index.html,https://cdn.feralfileassets.com/thumbnails/f2db8c40-a2fb-4a93-be03-75ce3b3133f3/1630272481
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030532,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=26&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030578,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=72&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,12840682995913677806001798836709465389866153646272085769634026756001512030527,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmWBrUtQ8ujbYciEhKwgaaSAzv82aGVtQdq1nmNRXWKFQd?edition_number=21&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmdXLY2RwdXMc3PBssx6gHe84wKC69WrPE1XdkBuBT1E2E?
