cid,present_locally,pinned,note
QmNMrvPwgHgHvBpRDLy5pCfXXChENdFS8zr12JcvRsv2Pm,yes,yes,
QmNMt3PLTJ4ZZN863zpHbthC5ywJYSJbozaUsb6WWJWE7w,yes,yes,
QmNMttG4mC6MVqqxjx46c7YC18y7M7q6qzWdsQCu39WHdC,yes,yes,
QmNMuQbBcisrnAnzp1YrANhSuVT73BM61Vk6QaDNdXVUcZ,yes,yes,
QmNMvENSjSxwTsPkuuv5QTh5SQbtnb8gELW8e7BpRsbA3r,yes,yes,
QmNMvGtxjT29dQ2Dg4qhKv9BL8MVDi3Z5KW11aPZvZdGtt,yes,yes,
QmNMwcHC252zu3ASf9vnXZRE84tKB5apd4Fe7nSRJcRJiA,yes,yes,
QmNMxmcMkXEPBXGRx3kHUgd4Ygi9Gkh53Hu3g6T3AkMWoq,yes,yes,
QmNMzRLygUWxYhCSWTvE2qX5Rhp2mwwqXkrzWKXZeugMDR,yes,yes,
QmNMzeazGG63KXk1h4jhDCVN7UYLvgNiZi8ZM4aVzYVfDp,yes,yes,
QmNN1XvDU4ZJPep2wB7twjvQvSPXWWKB8i7yNiRGyDfuaB,yes,yes,
QmNN3yGty59FmvbmgtgWibZRx7tU2HnpbBroPVxbdHGSxc,yes,yes,
QmNN6JoxwXZ9C9UaRMhLwzAKQWuGv4Kb1RH7S36Z4JWVKM,yes,yes,
QmNN6fhDwbXACXegHsiCxYZn9jYLMAwFuTiGyyFMx5HdkM,yes,yes,
QmNN72S8RBdAATG8wwhRmUGLxQVfp1Mw9ssRPzokZn9QNm,yes,yes,
QmNN7RfHozBj5QXgXmFub7ST7dkTu3ZLcmFBoZX3MWJTbs,yes,yes,
QmNN8BLM54RyqwCmtv6xdLD6dJwWtQYpN3mreteCc7gapJ,yes,yes,
QmNN9WiPo7k374R5dXipZRxhPkobZyWKYwZbinYuFMCw5L,yes,yes,
QmNNABu8dJ8B7ctmaTWF65pALAdwGaJNvsXfbCEEnH25rg,yes,yes,
QmNNAZ3wszjnrPgDWXYs4oubXFxRFTHuc8k92aaFwsHuEE,yes,yes,
QmNNAk3HDxvGazhHPs9URMeZaRaPgFHBFxPbCeHdNHqszL,yes,yes,
QmNNBVJC31W7tTPTqC29mbiCaKz3T2nDEXkm3NXif5Utce,yes,yes,
QmNNBWELmuDUdhjVYR3ox98ueRKEn4XL1PnReYkj4sYeik,yes,already,
QmNNCzxqDw5S6ArVrQD5759S5ocSPs8u5QBefnmh6barRE,yes,yes,
QmNND1br7MiUeCLJ4fdSWN1j95g29wueSoSFcQxcqnYMNn,yes,yes,
QmNND4ybRrB6cQfDZzcEgBDEZoRzVNbg5WMwNorDqYztT7,yes,yes,
QmNNEDFrsmywLghhmvA79PDMsRYCGtrn5KX9LoPDcibpqA,yes,yes,
QmNNGWQGnddeXXxQT1Kt4cyci9ifg77N2xGztrR4EKA8Yn,yes,yes,
QmNNGgtd3ss3fneiaK1yLREbxmqwf2m8opZ12xq3evYjrH,yes,yes,
QmNNH7BoawXdcPkKyxyQXiwmJMAn5837riZigiVsxhTvgd,yes,yes,
