category,opensea_slug,opensea_url,bound_collection_uuid,uuid_your_api_returns_now,eth_contracts,os1_legacy_id,your_series_title,your_exhibition
1_live_series_in_your_mapping,contrafictionary-by-jan-st-werner,https://opensea.io/collection/contrafictionary-by-jan-st-werner,93544620-dff8-4ae5-8194-3f527e8cc91e,,,23766770,Contrafictionary,Polyarrythmia
1_live_series_in_your_mapping,count-zero-four-by-peter-burr,https://opensea.io/collection/count-zero-four-by-peter-burr,1b205395-6654-4174-b170-45c82866270b,,,24557467,COUNT ZERO FOUR,Fragments of a Hologram Rose
1_live_series_in_your_mapping,crawl-by-travess-smalley,https://opensea.io/collection/crawl-by-travess-smalley,82dcf3d9-56ba-40bf-b57d-3a631bbdb7d5,,,32860401,CRAWL,CRAWL
1_live_series_in_your_mapping,crawl-multi-level-by-travess-smalley,https://opensea.io/collection/crawl-multi-level-by-travess-smalley,0a954c31-d336-4e37-af0f-ec336c064879,,,32899051,CRAWL MULTI LEVEL,CRAWL
1_live_series_in_your_mapping,crawl-woodblock-screenshots-by-travess-smalley,https://opensea.io/collection/crawl-woodblock-screenshots-by-travess-smalley,3c4b0a8b-6d3e-4c32-aaae-c701bb9deca9,,,32860970,SONGKNOTLIRA,CRAWL
1_live_series_in_your_mapping,crystalline-work-arctic-by-john-gerrard,https://opensea.io/collection/crystalline-work-arctic-by-john-gerrard,4e7c1eba-7c17-4c38-9454-36c72ae98249,,,32568727,crystalline work (arctic),crystalline work
1_live_series_in_your_mapping,cube-1997-by-lia,https://opensea.io/collection/cube-1997-by-lia,b9fc23b3-5cf1-4507-82b0-3ececbc7e01f,,,27220584,Cube_1997,The Experiment
1_live_series_in_your_mapping,cuneiform-by-presstube-x-bzor,https://opensea.io/collection/cuneiform-by-presstube-x-bzor,885f3cca-2d91-4a7f-919d-580876035f73,,,30971835,Cuneiform,Truth
1_live_series_in_your_mapping,curse-reversed-by-lorna-mills,https://opensea.io/collection/curse-reversed-by-lorna-mills,b9c75754-0a64-42eb-9170-23ef11fc2f3d,,,,Curse Reversed,Net Evil
1_live_series_in_your_mapping,curse-tablet-by-auriea-harvey,https://opensea.io/collection/curse-tablet-by-auriea-harvey,a6463015-af79-43cf-ab25-84074828ac4b,,,24557651,Curse Tablet,Gray Matter
1_live_series_in_your_mapping,cusp-marsh-birds-by-jake-elwes,https://opensea.io/collection/cusp-marsh-birds-by-jake-elwes,3224d677-f521-415d-86c0-1f2f9c47abef,,,24557618,CUSP - Marsh Birds,Reflections in the Water
1_live_series_in_your_mapping,cyanotype-plant-sketch-by-alan-butler,https://opensea.io/collection/cyanotype-plant-sketch-by-alan-butler,d1497479-9335-4b83-85bc-31caba9f2b29,,,27220921,Cyanotype Plant Sketch,The Experiment
1_live_series_in_your_mapping,cyberflesh-girlmonster-4-recuperated-stills-by-lin,https://opensea.io/collection/cyberflesh-girlmonster-4-recuperated-stills-by-lin,bb118c17-1444-4c39-9587-64aa126d6f58,,,24557582,Cyberflesh Girlmonster-4 Recuperated Stills,WETWARE
1_live_series_in_your_mapping,d-flagellum-by-ido-radon,https://opensea.io/collection/d-flagellum-by-ido-radon,c40d0e81-c8dd-44a3-9fc8-2caa36101516,,,24557481,D. Flagellum,Fragments of a Hologram Rose
1_live_series_in_your_mapping,dactylogram-by-david-seven,https://opensea.io/collection/dactylogram-by-david-seven,e8f79d54-d0b3-4a19-8775-8ab7a3ce9f98,,,30884101,Dactylogram,Truth
1_live_series_in_your_mapping,dada-data-by-lia,https://opensea.io/collection/dada-data-by-lia,07c766f0-edc4-45fd-be50-83f89228b08c,,,24506737,dada data,Social Codes
