verdict,exhibition,collection_name_expected,collection_uuid_expected,series_id,contract,token_id,http,latency_s,problem,collection_name,collection_uuid,name,image,animation_url
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854083,200,0.59,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #4,https://ipfs.feralfile.com/ipfs/QmUNKdPJs58tmiJDTa5zJLeEUJ8QcCzmyzZ9NqiV9eRrCG?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=3&artwork_number=4&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854083&token_id_hash=0x4b26aa449ae98bfc2e9279b2e71dff8a5f4d62c035221caba868dc6fb397113a
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854086,200,0.6,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #7,https://ipfs.feralfile.com/ipfs/QmVcxSw6V6JkWTS7eRLCjuF6xUbMFtTNegzjTbTQpmMaju?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=6&artwork_number=7&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854086&token_id_hash=0xcedaa866ee73f3ef7c2389d63c5274468497defdf349e0dabc964e7b5f5cc953
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854089,200,0.59,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #10,https://ipfs.feralfile.com/ipfs/QmPpeSGy2tLJebSMhqmdMZqDUG8MH7AGN1RBnV875G37Lh?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=9&artwork_number=10&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854089&token_id_hash=0x0d88de3e8ac3409a57e274d781be1bc05e74c4f1503d20d76a98cb38d90883fa
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854092,200,0.59,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #13,https://ipfs.feralfile.com/ipfs/QmRsWTocMhTL3MQAJXUVCK1aAF4bdzqLCxiaskUYmhWMh4?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=12&artwork_number=13&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854092&token_id_hash=0x8810b18f8aa2f84ceead00fde692302e99d1649f4e9922840865b8a617ffcb34
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854095,200,0.6,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #16,https://ipfs.feralfile.com/ipfs/Qme56rJSw359s2LrS1tHC3h412qYdiBpd5DfNJkH9G4Hpc?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=15&artwork_number=16&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854095&token_id_hash=0x3d8314287f903d4ac7fe99ad5f92d917f10f10eea1701281272a605d8dc462f8
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854098,200,0.6,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #19,https://ipfs.feralfile.com/ipfs/QmP98wsa7z3c4qcmvatDfvErxUzfaQwy3ycP8692zb6dai?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=18&artwork_number=19&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854098&token_id_hash=0xff65e5d77432923a2c18fbac8abc8e767f76df8984bdee1ff8e61b2f1c453b46
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854101,200,0.59,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #22,https://ipfs.feralfile.com/ipfs/QmR76MS4F4svzD2mVCSe23eS3Uqa3zwXmwDKU7YAjYb5Ap?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=21&artwork_number=22&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854101&token_id_hash=0x41b6eac00899401fc2994d292d9956dad812d2b26a90716712270cafd8d755a9
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854104,200,0.58,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #25,https://ipfs.feralfile.com/ipfs/QmboSsa4idUQpXYHgm6UUpYbgdy1Se8GLTbShpnKY5KJyN?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=24&artwork_number=25&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854104&token_id_hash=0xf8ce5d51bfe987337302237794f45a6992b223bd55882e436e877d9f6396e386
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854107,200,0.59,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #28,https://ipfs.feralfile.com/ipfs/QmWfidg5dpArij4pgpQTURDsgYN7Xq4ujPYwSLfu51Fm2d?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=27&artwork_number=28&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854107&token_id_hash=0x198c6ddf92f7a790ca7a084aaa2c7c729cfbd09e05df4590cce696777b295855
Decentralized,+GRAPH,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,688c1976-748d-4b54-8aac-61b5561924e6,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737837854080,200,0.59,,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between #1,https://ipfs.feralfile.com/ipfs/QmP1SijoebLZtWjTwPFvZHkPMNfmCXAyBs86Bac7srz6ux?,https://ipfs.feralfile.com/ipfs/QmaMSr4ksSPYaRkX1tLXruPAauPS8iTHK2zGBjYtNMLGkf?edition_number=0&artwork_number=1&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737837854080&token_id_hash=0x8aa618bba26a20bd9dc653b8091970ff780b6eca462f4df844d30536124b7dbd
Decentralized,+GRAPH,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,688c1976-748d-4b54-8aac-61b5561924e6,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737837854083,200,0.59,,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between #4,https://ipfs.feralfile.com/ipfs/QmWUB4nZi7rf6xYo1HGdCoe2QTW6Xd1TEv6FrMgLtEjAaP?,https://ipfs.feralfile.com/ipfs/QmaMSr4ksSPYaRkX1tLXruPAauPS8iTHK2zGBjYtNMLGkf?edition_number=3&artwork_number=4&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737837854083&token_id_hash=0x6d8620e4377b539a30992d3761e99203dd02555f61e70b965fa62e22a9adc32c
Decentralized,+GRAPH,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,688c1976-748d-4b54-8aac-61b5561924e6,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737837854086,200,0.59,,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between #7,https://ipfs.feralfile.com/ipfs/QmT5KssjQeLeY3NK4LytzKZQDjuTGmUNbYbFqGnCytZWok?,https://ipfs.feralfile.com/ipfs/QmaMSr4ksSPYaRkX1tLXruPAauPS8iTHK2zGBjYtNMLGkf?edition_number=6&artwork_number=7&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737837854086&token_id_hash=0x66702388ac9bebfd480e1385b6f3f09d1992ea4d580f9bd7aaded399883203de
Decentralized,+GRAPH,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,688c1976-748d-4b54-8aac-61b5561924e6,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737837854089,200,0.58,,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between #10,https://ipfs.feralfile.com/ipfs/QmbCPPYkkyUubqP7HwAGS3DTRcSiYm9FGJTb6QvmcYvPft?,https://ipfs.feralfile.com/ipfs/QmaMSr4ksSPYaRkX1tLXruPAauPS8iTHK2zGBjYtNMLGkf?edition_number=9&artwork_number=10&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737837854089&token_id_hash=0x7f4fd9d6ca8f16599ec4f7f351273f47f58a93bda4078c04c4fc2c38306bf3cf
