token_id,edition_index,old_artifact,old_metadata_cid,file
115102002126076552507580024863960618470463757507692547587654022394981581576294,63,Qmf8bvobDWMT,QmUg8iRMFsfd3RyvprgLvzha2jzSgkPUkCrf1efeEkz2f1,files/115102002126076552507580024863960618470463757507692547587654022394981581576294.json
115102002126076552507580024863960618470463757507692547587654022394981581576295,64,Qmf8bvobDWMT,QmRJrsx1MNmhTriguRJwnaMM3LSK2c9nXNxNLW8bgQMP79,files/115102002126076552507580024863960618470463757507692547587654022394981581576295.json
115102002126076552507580024863960618470463757507692547587654022394981581576296,65,Qmf8bvobDWMT,QmUZ4z1e5DEi13my9Rt4Vd7cc7kuWKuwZ9vtjHzzYXAHgs,files/115102002126076552507580024863960618470463757507692547587654022394981581576296.json
115102002126076552507580024863960618470463757507692547587654022394981581576297,66,Qmf8bvobDWMT,QmWdioViYgv9QXAuCqmgzJRGdqihJ4Y2FusMpjy1c64eoC,files/115102002126076552507580024863960618470463757507692547587654022394981581576297.json
115102002126076552507580024863960618470463757507692547587654022394981581576298,67,Qmf8bvobDWMT,QmdVUxdteCwLD1prmZDYy9tcx8Gnwry8m85P3fEdRv11fv,files/115102002126076552507580024863960618470463757507692547587654022394981581576298.json
115102002126076552507580024863960618470463757507692547587654022394981581576299,68,Qmf8bvobDWMT,QmY7b7kjFGGfTwuha7aFiwdmVYgosVTvo6FVrxu9S1fMKx,files/115102002126076552507580024863960618470463757507692547587654022394981581576299.json
115102002126076552507580024863960618470463757507692547587654022394981581576300,69,Qmf8bvobDWMT,QmZicT1H5BeMMFNGcTTNWnv4SGfWwHTVD5RqbyRbadbJ36,files/115102002126076552507580024863960618470463757507692547587654022394981581576300.json
115102002126076552507580024863960618470463757507692547587654022394981581576301,70,Qmf8bvobDWMT,QmU6kZUQ6WpiZfYLpgtopCALNN2KiXLmsPAGnSrGRNyfMB,files/115102002126076552507580024863960618470463757507692547587654022394981581576301.json
58450016580621041141841211306253629727656585501248702727811619991962813148788,0,QmRGwoEnB4in,QmThsQYxFYFstHwqgj7w6pHkjPtcaxiVFaLi4j2yMw3JMM,files/58450016580621041141841211306253629727656585501248702727811619991962813148788.json
58450016580621041141841211306253629727656585501248702727811619991962813148789,1,QmRGwoEnB4in,QmTDnrGEv8bNawCepiet8xLmNTMNMAcrZTxa75sF8g4kH8,files/58450016580621041141841211306253629727656585501248702727811619991962813148789.json
58450016580621041141841211306253629727656585501248702727811619991962813148790,2,QmRGwoEnB4in,QmRGWSKikpM2iUhJz1MXwu65GMLNcsc7GbcfyxW2fSaqRC,files/58450016580621041141841211306253629727656585501248702727811619991962813148790.json
58450016580621041141841211306253629727656585501248702727811619991962813148791,3,QmRGwoEnB4in,QmR8KLFc46ikK9hC5qZGcoBUygUCC7FEvCPgKx7hjWiLHF,files/58450016580621041141841211306253629727656585501248702727811619991962813148791.json
58450016580621041141841211306253629727656585501248702727811619991962813148792,4,QmRGwoEnB4in,QmZFRxqB1Tc8ME8kzXJeT32Xh63DZRdbjUAPTmRumvUvsq,files/58450016580621041141841211306253629727656585501248702727811619991962813148792.json
58450016580621041141841211306253629727656585501248702727811619991962813148793,5,QmRGwoEnB4in,QmXa1LzvgPQg7nrcc91BMmMyEzvZ34Z23im4QycHpZsHAG,files/58450016580621041141841211306253629727656585501248702727811619991962813148793.json
58450016580621041141841211306253629727656585501248702727811619991962813148794,6,QmRGwoEnB4in,Qmduy2ceSouR44ozrwDt96JXQPv7kqeuiMDwecCt7hPMy9,files/58450016580621041141841211306253629727656585501248702727811619991962813148794.json
58450016580621041141841211306253629727656585501248702727811619991962813148795,7,QmRGwoEnB4in,QmagSPSeLn3wPEhHkXZZNrCNfdwvBFc4jbTxoy5HPKNsor,files/58450016580621041141841211306253629727656585501248702727811619991962813148795.json
58450016580621041141841211306253629727656585501248702727811619991962813148796,8,QmRGwoEnB4in,Qmdz3ivaRDD2Fe2d6aaSoWyfqWE4M438Wzviw3tfuXbajY,files/58450016580621041141841211306253629727656585501248702727811619991962813148796.json
58450016580621041141841211306253629727656585501248702727811619991962813148797,9,QmRGwoEnB4in,QmQcpzcRpquip77QLfZYsakANzLpdH7bxhj2Dh7LqsF2K8,files/58450016580621041141841211306253629727656585501248702727811619991962813148797.json
58450016580621041141841211306253629727656585501248702727811619991962813148798,10,QmRGwoEnB4in,QmSifiHAsRJVBbJAAsTrDiML6BxgdGFkaV7sqYTs2oHdhV,files/58450016580621041141841211306253629727656585501248702727811619991962813148798.json
58450016580621041141841211306253629727656585501248702727811619991962813148799,11,QmRGwoEnB4in,QmQJR99biD4oL3i2byU6W7o1AHgDsV1mDLZFMGBPcsKQs2,files/58450016580621041141841211306253629727656585501248702727811619991962813148799.json
58450016580621041141841211306253629727656585501248702727811619991962813148800,12,QmRGwoEnB4in,QmSbn5L38erkGVcccdB9fT2NRXUJ84fMhzf2xcvC7WjdUR,files/58450016580621041141841211306253629727656585501248702727811619991962813148800.json
58450016580621041141841211306253629727656585501248702727811619991962813148801,13,QmRGwoEnB4in,QmTUVjDsaXJt7eitKTVMBEo8VqWgVM1YNRHtbYUyE6LgF8,files/58450016580621041141841211306253629727656585501248702727811619991962813148801.json
58450016580621041141841211306253629727656585501248702727811619991962813148802,14,QmRGwoEnB4in,QmTBSZmZsvLN6jee7wrxfeme9DzBx4RmeeEybZJEavE2qW,files/58450016580621041141841211306253629727656585501248702727811619991962813148802.json
58450016580621041141841211306253629727656585501248702727811619991962813148803,15,QmRGwoEnB4in,QmYUtYZVQCXkbtSxpWRWNKxy1e6nCDLJnquN6D8fnxp9yt,files/58450016580621041141841211306253629727656585501248702727811619991962813148803.json
58450016580621041141841211306253629727656585501248702727811619991962813148804,16,QmRGwoEnB4in,QmdgRCVFTpsHArRkQ365hyDq682NxSgEtLANausNvVzLWY,files/58450016580621041141841211306253629727656585501248702727811619991962813148804.json
58450016580621041141841211306253629727656585501248702727811619991962813148805,17,QmRGwoEnB4in,Qmerxh3VRXncGfd3shmAA13A561cXXvMeEGEFfY2PH3Jq7,files/58450016580621041141841211306253629727656585501248702727811619991962813148805.json
