edition,class,token_id,old_metadata_cid,old_animation_url,old_image,dir
41,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689500,QmTGnqjHHedunSqkMvN6rMpjfKZNow5JUbj52cChw6SbJB,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://cdn.feralfileassets.com/thumbnails/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1653452315,dirs/041
42,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689501,QmZcevkbYvFsmr3Z8ADSfhsszwNgoRGmUfSye4ichAQnym,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/042
46,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689505,QmWdLb7JJgGLrXb5ZYvdgJHvAquSrcHMvazBh9BcA7oP3p,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/046
47,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689506,QmZb9S7E8CwqwfTqEVEmP9QkQ9eT4GwDbSraWwdRZRnmfT,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/047
48,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689507,QmWeK8ryw2qP4ehLcRtPUt48mnmrzcbVvnH7yY3B2QR2Jd,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/048
50,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689509,QmfLFrKCKrSgB5QPR1GyHDr5ZaqdUT9FFasYoAbQedAtcd,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/050
51,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689510,Qma359rb4n5reKZypKvf681cK7fyQgQFDS8nfp79B9mmtY,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/051
52,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689511,QmTnv9rbvBxy9LFcK4uEnyvXLw1tB86HqooC2C5X7wirKq,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/052
54,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689513,QmYsBf6YhG6Gg32sSVXHNRASBDMnymGWffvnnH4axPP8dR,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/054
55,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689514,QmV34TWuVrQPPGh2WArP52xchkYQnNtag3wdouWgoY7Jfb,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/1387fb4f-59a3-4fa6-7adc-fea2528d6400/thumbnailLarge,dirs/055
