contract,token_id,group,status
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581271,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581273,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581275,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581281,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581282,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581285,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581300,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581302,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581305,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581306,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581307,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581313,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,111189432907883705479781860609730558140985427661919345637476715406273466581316,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713055,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713059,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713063,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713065,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713067,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713069,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713070,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713074,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713075,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713076,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713084,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713088,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713092,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,12686393674845874925129035513704534169549355780905676792985114895836083713095,fixed:goal2,Item
