series_id,artworks_bytes,artworks_objects,previews_bytes,previews_objects
33e55482-5dac-40b8-972e-750c374d69bb,365455918,8,775408,7
34f52c05-cde0-4dee-880b-df96eebf37be,6431448,5,195505,5
35b11663-0ced-4c14-9113-b5d763da0040,367696229,14,167987,22
361076b7-b4f5-4b47-b800-8c1f31100271,367696746,14,167987,22
3620d7ce-0677-4c59-be8e-0638632dc43b,369698279,9,4245239,8
37e6066c-9997-4939-ac9a-e92685e71cf6,6430634,5,195526,5
398716ae-a05b-43bb-adb8-48e56114af6a,1256796832,7,61594907,22
3a13e193-725f-4a07-b5fa-51f36fc79050,790222120,5,396248808,388
3a9f6d14-d53d-4d5c-b55a-f0e5793d5d0e,378197070,8,3083578,9
3aca483a-59b7-4839-b66e-74d5e75c4735,6603946,6,369301,10
3e8f638a-c7e2-403a-98d8-c185411825bd,424398523,5,40163840,23
412f980a-0fbc-4458-983a-85a1d81b6371,110555500,5,9968583,1
434b4eab-f8ed-4e75-b80f-5377e08ca430,37427546,12,6895273,3
43c29566-9fad-42ce-aab9-1c4947164d94,477246545,8,23101532,10
43f6164c-d901-4e87-815a-c6689d05b48f,6604461,6,369343,10
47ab1047-708d-4f36-b5de-68e5995e175f,6430507,5,195526,5
47db4cae-c786-4bb3-8735-e932ab81ed7f,771845587,13,24969254,138
48f6b892-d3aa-4eae-87db-040e195e00a5,30130021,5,2710474,1
496bd7c1-d524-44fd-b8d6-9eb03fb9f320,245677780,5,15985264,1
4a58d6e4-d014-4ea3-9837-f7892fd48157,137159817,5,66338726,1
4ac90d22-2b94-4dad-8685-3df950746010,6603915,6,369319,10
4f3fe912-d226-48b1-8120-56566426d110,1510464161,5,112079444,1
4f6816b5-3d84-4715-b025-c8a837030b49,24118962,12,1762529,6
4f69d4eb-5f33-4d3b-a0ac-cc4189bf1f83,6604427,6,369341,10
500ccc6e-d7ad-443f-a9df-0bf709b3b3c9,367694693,14,167987,22
50aa02eb-dccf-4003-99a2-69a1f62cb337,1249828364,5,5108922,1
51a53d4e-c60f-4582-8edc-c9998ed40a24,374047020,8,2099259,58
522055e6-e5d8-41b5-8cad-9823c9666e2a,646741705,9,50636406,28
5440b100-26fe-41b6-b55e-96ff06b5a94a,17072929230,10,4750596,2
5472181b-3d22-436b-88fb-bb3e07fa073d,588347829,6,4073240,1
5af4af6f-1e6b-4e45-95db-7b4de60fe0ca,365189685,8,626282,8
5d7e9132-059f-44d9-a6a9-3c8a9b688965,4362644687,68,185560,39
5e0a93aa-22d0-4305-8bdd-5806dab5503a,2306732845,32,1484995172,1724
5eb92ed1-7e81-4b2f-a24c-8e2a67c085e8,916520148,5,458132750,388
6053b698-2016-4c05-9353-6941635c1609,6579054563,7,101337715,2
61c2c2b6-4f2c-4e1b-9e45-23faf3e76594,270082975,5,9500531,1
669bc223-2deb-48f3-b5ba-e44d086bee6c,367695384,14,167987,22
6835b45f-7f3f-4caf-8a74-d52b35a24df1,367689201,14,167987,22
685f39aa-f9ca-4bfd-84af-d69ad3f8b2c3,4142193,5,45598,1
6862d0b4-252f-469d-8327-c0d79f8b4a67,4994102772,13,1014403204,82
69518c54-2bc5-4b90-b606-675529c7593d,406647394,8,20083428,21
6a0781b7-93ff-4cef-9a92-6e197990be57,151413913,5,10011934,1
6b095c1c-b367-4f4c-b583-6f0ae975e463,87240692,7,92633810,3
6bcc9b62-0ca3-4fdc-8232-0a3f2d4adf13,4228566829,8,814695870,10
6ceb34ad-a8e2-40af-ada7-121a778ec352,25235548187,13,235307432,3
6d1a279d-0ddc-4067-84e4-0e0e96fd36fb,1577716511,5,476938288,1
6dde453e-259f-49b7-b5db-02c7a41d049b,6430422,5,195538,5
6e0b8c01-5b11-4ceb-b40a-c1d8efa4a66a,728623802,13,287404,32
6f5db274-ea1f-47b6-82ab-13b0ad650d36,367690183,14,167858,22
71e492dd-e8e6-4b1e-8bf1-ee6d8708e04e,948153795,5,473791659,390
725023bf-1604-4f3b-8e57-100500682b29,1737292844,7,243832135,2
7462201d-7fd6-4ee9-83f6-4e4b35c39de1,537434492,5,32054414,1
746f680d-9a6c-4125-9486-3271bdbe7e6e,1134383065,5,110515573,1
7764ae91-0392-48fb-b68c-796d701bed08,2220871435,8,412523649,622
78850fcd-afca-4757-a9c6-9c847cb3c49d,762064269,5,88831759,1
78e56727-5b72-4f98-bbef-67ed004a635d,367690624,14,167987,22
79cb077a-355b-4694-a787-f023abf070de,7082326622,7,186592376,2
7ad28960-94f5-465f-b586-9d7834da476b,367693669,14,167897,22
7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb,38953875437,8,123710797,3
7ba57167-a13e-4033-b07e-c7094f74410c,16142284388,7,504206134,1
7e2aceea-c9f0-4afc-a4c6-8d37dda61d02,367694529,14,167987,22
7e92539c-65ce-426b-a243-9b043d0defda,367695886,14,167987,22
81c8f5d2-9f23-4584-8ee5-f7c975dc7951,367687017,14,167897,22
