exhibition_slug,series_id,series_title,artist,medium,bitmark_works_in_series,sample_artwork_id,media_url,probe_status,content_type
unsupervised-sla,29cd44b3-2ed9-4d8b-beb5-073d248a1a00,Unsupervised — Machine Hallucinations — MoMA Dreams — I,,image,11,053bcbc144b652cb11657d6f9bc631652f7db53a94f36f287a9e23500eef81e5,https://cdn.feralfileassets.com/previews/29cd44b3-2ed9-4d8b-beb5-073d248a1a00/1637046398/preview.jpg,200,image/jpeg
unsupervised-sla,31bc21a0-c834-49a3-866f-d4839cbe14df,Unsupervised — Machine Hallucinations — MoMA Dreams — G,,image,12,13b9dce3d202b01462dd1a0631c92c554134afbed9f37f6d536d537033a2467b,https://cdn.feralfileassets.com/previews/31bc21a0-c834-49a3-866f-d4839cbe14df/1637046340/preview.jpg,200,image/jpeg
unsupervised-sla,61c2c2b6-4f2c-4e1b-9e45-23faf3e76594,Unsupervised — Machine Hallucinations — MoMA Dreams — D,,image,8,060f5b84abd53a4b5178cf8897ee2fdf53465317f2a046baf44c663d8f0b43b3,https://cdn.feralfileassets.com/previews/61c2c2b6-4f2c-4e1b-9e45-23faf3e76594/1637046237/preview.jpg,200,image/jpeg
unsupervised-sla,6a0781b7-93ff-4cef-9a92-6e197990be57,Unsupervised — Machine Hallucinations — MoMA Dreams — H,,image,14,1149b195f64fb7880c257be49d885aedf2361a1466294d0c6409cca0b09be808,https://cdn.feralfileassets.com/previews/6a0781b7-93ff-4cef-9a92-6e197990be57/1637046365/preview.jpg,200,image/jpeg
unsupervised-sla,821dd86a-8764-441f-af58-95c857a7c4d3,Unsupervised — Machine Hallucinations — MoMA Dreams — B,,image,10,32e9bc1c6c6d8851ad2083501e925ac13ccd7e2318e72dfafd1bba2e0830a14d,https://cdn.feralfileassets.com/previews/821dd86a-8764-441f-af58-95c857a7c4d3/1637046150/preview.jpg,200,image/jpeg
unsupervised-sla,96f1663b-5216-4758-aa7f-3a70e6d9d45b,Unsupervised — Machine Hallucinations — MoMA Generative Study 1,,video,1,8030847d1102064cf0d0d3a94c45211d5512d986a2181d27fdfd3ee031c9cf3f,https://cdn.feralfileassets.com/previews/96f1663b-5216-4758-aa7f-3a70e6d9d45b/1637052748/preview.mp4,200,video/mp4
unsupervised-sla,c3b2c10b-91c6-4e2f-83bc-fcb5068e98be,Unsupervised — Machine Hallucinations — MoMA Dreams — C,,image,9,064d6abe60ceaf0ad9de49717d09b6de01ffaad8bc582af262b964424cfa5d12,https://cdn.feralfileassets.com/previews/c3b2c10b-91c6-4e2f-83bc-fcb5068e98be/1637046206/preview.jpg,200,image/jpeg
unsupervised-sla,c4c9bfde-13bc-4cf5-bc4d-817280673ec3,Unsupervised — Machine Hallucinations — MoMA Dreams — E,,image,8,298dca127d59abc71516d8ba026b05f9de218c71c705e67c044c1ce0babc56da,https://cdn.feralfileassets.com/previews/c4c9bfde-13bc-4cf5-bc4d-817280673ec3/1637046282/preview.jpg,200,image/jpeg
unsupervised-sla,d35cdb38-917f-42f3-9914-e276dc5f0ded,Unsupervised — Machine Hallucinations — MoMA Dreams — A,,image,9,673b1867d990295c943d9a36b4c053c8e9c90942929dcf1dd4fbcda2fd90acb3,https://cdn.feralfileassets.com/previews/d35cdb38-917f-42f3-9914-e276dc5f0ded/1637045388/preview.jpg,200,image/jpeg
unsupervised-sla,d6e1e0f1-7a9d-46f1-a691-bf0604e755b5,Unsupervised — Machine Hallucinations — MoMA Fluid Dreams,,video,1,31f2afc4decc1ec9bae93f7897f71c1b64d18032bb2bf8ca6d41862cb783df1b,https://cdn.feralfileassets.com/previews/d6e1e0f1-7a9d-46f1-a691-bf0604e755b5/1637053622/preview.mp4,200,video/mp4
unsupervised-sla,e362fa91-c218-45df-8167-d7e7c3440052,Unsupervised — Machine Hallucinations — MoMA Dreams — F,,image,8,1865f68516f0489fa1762e12b0c31b243a68fce99238408a397fbb4114d47624,https://cdn.feralfileassets.com/previews/e362fa91-c218-45df-8167-d7e7c3440052/1637046314/preview.jpg,200,image/jpeg
