cid,label,ipfs_io_ok,dweb_link_ok,ipfs_feralfile_com_ok
bafybeiagd2jnhomuidaeksivexvbmmpqvaxemdmhz2xgpkhu7cjfmkesxm,bitmark-era-series: Acrylic Interval,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeieankt47rfuamjp6b6kajriqea72tbirvyihqp4ptwccbuxanxucq,bitmark-era-series: Hypothetically Micro,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeidicl46ejxjpe2w6j2bgr55qkfcqerbymz7zutmkfdt7cbvqrs2am,bitmark-era-series: Contested Zone,ok 200 text/html 1.0s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeidjwmuz3a7kkv72i67n75bjgo2rx7ejmg22hm4e6275trzso2643y,bitmark-era-series: Arrels,ok 200 text/html 0.9s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeigi4wxi2uisvz4x6kr6c3cvtis7ecun4da3yxe6n7at6wcj26ebfi,bitmark-era-series: Infinite Entropy 5,ok 200 text/html 1.0s,ok 200 text/html 1.9s,ok 200 text/html 0.9s
bafybeie53f3d2zzcqawwb6vkrxjrp2aqbziym5qryzlvnw7wlkmioaqyje,bitmark-era-series: Infinite Entropy 15,ok 200 text/html 1.2s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeia5dvt44c2qd6clgvq6jpn5bkyaqbf7gh7pmtopk3vr2gmjawe7xq,bitmark-era-series: Predictive Art Bot,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeidwj7djbflrcmmlj27mwmyjbt745jeumo64vzq42ggjwirzzacxoi,bitmark-era-series: Forest Transmission,ok 200 text/html 2.0s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeiahr2sgd3vakxbgdfhudgd7o3zeyyeiqekhp37lixag6rc36stbv4,bitmark-era-series: Signal of the World,ok 200 text/html 0.9s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeiboe6htxcqfhkbczn4cm3pbcxnc3qlacrtfj6vkre7r65pwx3acre,bitmark-era-series: Venuses (quantum bodies watched by Open Pose algorithm),ok 200 text/html 0.9s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeih23umej2xwtoshb43c5awowlw2s7xgp2kkibq3mqd3gx2guycote,bitmark-era-series: Infinite Entropy 7,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeie6vlj7z2j67ztz7fy7pxwqlktvm2dujyh5f52cxfbrvwlf4ev26u,bitmark-era-series: Are Smart Machines Alive?,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeihqrazspyqdoxrpngewiua6miqtg6txuonfnxvhfccsdp3afr6xji,bitmark-era-series: Hatless,ok 200 text/html 0.9s,ok 200 text/html 1.6s,ok 200 text/html 0.9s
bafybeiddzotkgk5zgq2i77rhqs5l3io4gyzi3hl3doy4pbven7pxrqzbii,bitmark-era-series: Infinite Entropy 2,ok 200 text/html 1.2s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeibidw7ai6o26o36myvbykjoespazfogie54o3e427sdbjmn6crtfm,bitmark-era-series: 36 Points #27,ok 200 text/html 1.1s,ok 200 text/html 1.7s,ok 200 text/html 0.9s
bafybeidmh6ydom3pxsuvgzyjatqyluwvos46gpm3aimw5vjrlhswmagyhy,bitmark-era-series: Caylx,ok 200 text/html 1.0s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
