contract,token_id,exhibition,n_cdn_rows,resources,urls
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239532,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=3&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239532&token_id_hash=0x7e2fe6ed5b3f1b1aac284f895d02cfd64806bbc04feaa0c9d3f1ba5af7e93ec7;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/3-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239533,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=4&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239533&token_id_hash=0x882f5e889483bb13e2a7258ce15c6ef15dc6150a2a3542ad36bc7f408fefdd09;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/4-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239534,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=5&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239534&token_id_hash=0xc9af1e3fce8c3347307488d0cd75d9a80427ee492167e87862923ef5b6866adb;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/5-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239535,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=6&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239535&token_id_hash=0x50ae6cf33c8be4d0769b0f7e911962b5962b73b1c750e52cc4acf0f03f4d0d45;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/6-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239536,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=7&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239536&token_id_hash=0xf97d2f1e9a58615ea2493c3c80e2c5697efbef0c62884a6c87a0c9406c97f230;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/7-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239537,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=8&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239537&token_id_hash=0x9197889d36005f58c7cbedc22f367c9aaaddfb9e8364eabbac84d3c982ab26b9;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/8-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239538,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=9&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239538&token_id_hash=0x67b53f033c234c4e94282e2de4697c03c7f5167855f7b91681a93ef82cf362e1;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/9-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239539,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=10&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239539&token_id_hash=0xb19d0f980b15a9078b74a1592f3bf03bb2dba053f8bdd39f77c512359f72f6c9;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/10-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239540,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=11&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239540&token_id_hash=0x32f9ad6e67c8f71651daad95a32f0242797671c1070ee5129a9edb399183e0ea;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/11-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239541,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=12&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239541&token_id_hash=0x0daa430edd810af43e412ad09154428832f308c9dd845ea685d087a23a93c19f;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/12-large.jpg
