contract,token_name_contract,token_id,http,name,collection_name,collection_uuid,image,image_class,animation_url,animation_class,error
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000020,200,Reflection #20,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000019,200,Reflection #19,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000017,200,Reflection #17,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000015,200,Reflection #15,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000014,200,Reflection #14,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000013,200,Reflection #13,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000012,200,Reflection #12,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000010,200,Reflection #10,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000008,200,Reflection #8,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000007,200,Reflection #7,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
