id,vendor_release_id,vendor_release_slug,name,total_mints
409,47709a2c-36e8-4564-8292-1d17edc1445a,gift-nft-1-8i3,Catalog of Peer to Peer,
413,2ee448fc-b02a-4f74-a8c0-0e4da84f7ab1,majlis-al-jinn-huma-the-archive-5tq,MAJLIS AL-JINN: Huma + The Archive,80
417,2877bf93-60e4-470c-9a8a-1d634a528f82,memento-3-unsupervised-installation-poster-3ly,Memento 3 - Unsupervised Installation Poster,
418,3c02977c-f2a9-4c19-9f6b-ff1c4a857fd6,hollow-ocean-6zy,Hollow Ocean,40
420,f2ab4c2a-4147-454b-adde-4f9b86892a7c,les-mutants-2-0nz,"LES MUTANTS, #2",40
427,de90a7b8-c71c-4ffd-8f3f-365796469bc0,in-search-of-your-digital-self-lfl,In Search of Your Digital Self,100
430,05f4043f-6d0e-4bf9-a594-1613a71cff19,relic-viewports-psd,Relic Viewports,100
434,522055e6-e5d8-41b5-8cad-9823c9666e2a,estroworld-now-the-quarantine-edition-kxy,Estroworld Now: The Quarantine Edition,80
441,48f6b892-d3aa-4eae-87db-040e195e00a5,forest-transmission-fuj,Forest Transmission,77
442,06dccbad-8fee-4c3c-934a-7eb45bd0b9d1,free-fall-study-iii-rdi,Free Fall Study III,75
449,7ba57167-a13e-4033-b07e-c7094f74410c,embryogenesis-ba2,Embryogenesis,100
451,e1b87ae6-d871-4e70-8df1-f9cd7dbd09f9,fragments-30-2051deg-n-90-1121deg-w-bsr,"Fragments:30.2051 N, 90.1121 W",88
478,7392c74e-cb0f-4be7-b4e4-26b9cad0499d,superbloom-1mm,Superbloom,144
526,0d7454ef-9512-4b36-923e-718e6cc2db77,behnaz-farahi-9pf,Unveiling,100
528,04b55cb6-c496-451b-b7c4-9fd61848ade4,catalog-of-simulation-sketchbook-works-in-process-xcm,Catalog of Simulation Sketchbook: Works in Process,
570,4d23d1ce-97c8-411b-b615-e64ca8d78c3c,flow-painting-jk3,Flow Painting,65
577,6d275227-8632-4ffc-b34b-689e851f2a7c,vitreous-evz,Vitreous,128
578,ab6684c6-c8bd-474e-937c-55ca68591085,sea-of-code-bas,Sea of Code,65
594,ddb59010-2a33-4f5c-9559-58e30b281704,summer-edition-sti,Summer Edition,50
595,55e9a993-a644-405f-b489-d4dc7e03ac5c,mineral-zu0,Mineral,30
609,0fc999f8-144b-48c9-99e1-b1b6968cc29f,chez-jo-ei5,Chez Jo,50
620,82115197-d516-4bd8-8498-227aaf30eb12,amir-fallah-fk4,Wheel of Life,8
621,b5621c75-70f9-430f-852e-9d8fd9318917,yeehaw-song-artwork-1-df7,Yehwan Song Artwork 1,90
628,9983bf66-380e-4af3-bee9-237c492f18a0,uneasy-dream-asj,uneasy dream,75
629,21cbc74d-faf2-4c7c-b0c7-41b79eb8bf2d,256-kill-screen-2xy,256 Kill-Screen,144
630,7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb,rewilded-topography-1-uxw,Rewilded Topography #1,100
631,398716ae-a05b-43bb-adb8-48e56114af6a,vectoria-s2u,Vectoria,90
632,c66d0636-30c1-4227-819c-0e69924fc7a1,marine-emojidiversity-xv1,Marine Emojidiversity,115
633,dc8dddb8-7b4e-4d60-80da-071b92444514,model-illusion-v4r,Model Illusion,90
638,47db4cae-c786-4bb3-8735-e932ab81ed7f,predictive-art-bot-bof,Predictive Art Bot,75
644,9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a,casey-reas-tpi,METASOTO,64
652,91765bc5-8815-4620-8268-80516d531dc0,mitchell-f-chan-ep5,Winslow Homer’s Croquet Challenge,
656,31a680b4-c00a-4eac-8729-cba633c91c54,ganxillo-dqw,Ganxillo,115
658,7764ae91-0392-48fb-b68c-796d701bed08,earmark-jnw,Earmark,200
659,a566dd50-6194-4e88-8aec-59cebbc1ed55,a-rose-by-any-other-name-bks,A Rose by Any Other Name,115
667,dd833c02-3847-40be-ab08-20d574aad3b9,apartment-block-z6n,APARTMENT BLOCK,9
670,28cad12d-50f2-4d82-a77d-1284cf934b8c,shimmer-2nu,Shimmer,75
672,231fa61b-eb94-40d7-9a5c-0d5c7e94f1ed,e-dream-well-stay-forever-in-this-way-2020-selected-rww,"E-dream: We’ll stay, forever, in this way (2020 selected)",75
673,18125d2a-d424-496f-9949-9c3e625f114e,post-2-s9l,POST 2,30
742,6003fcae-eeea-49bf-8c45-11658cf8e2d5,tbd-jdc,Ma'Dear,
1063,a62734e6-bce4-49a6-ab10-1b9698085efa,xiang-kucan-xiang-resonant-echo-pwm,響く残響 / Resonant Echo,65
1151,43c29566-9fad-42ce-aab9-1c4947164d94,arrels-y0v,Arrels,75
1170,5ad273eb-a00f-43a6-80a1-9eca7f4b201d,hard-copy-opo,Hard Copy,70
1172,75e849ce-0d03-4943-84b3-56a41be87044,cancelling-yourself-portal-video-xvy,CANCELLING YOURSELF (Portal Video),100
1173,67ab07f9-3dc5-4758-a560-c3d2347523b8,vox_anima_kfj,Vox Anima,100
1174,2f5d8b08-af8c-4a19-b1ce-815c9fd9bd03,vanities-sef,​​𝚅𝙰𝙽𝙸𝚃𝙸𝙴𝚂,66
1186,1f060e42-3437-444c-b823-a8b8532c449c,1de94-sye,1DE94,75
1330,78850fcd-afca-4757-a9c6-9c847cb3c49d,the-one-who-lived-yesterday-aga,The One Who Lived Yesterday,75
1405,ec014e95-c9de-4d2e-b464-d95c3f7ae19c,glissbob-j1k,Glissbob,90
1413,725023bf-1604-4f3b-8e57-100500682b29,sketches-in-iron-5n6,Sketches in Iron,100
1414,2d1f1330-d66a-4e9e-afd6-c17e5e55f2c4,in-endless-flow-of-absolute-truth-there-are-innumerable-relative-conjecture-chz,"In endless flow of absolute truth, there are innumerable relative conjecture.",75
1430,e362fa91-c218-45df-8167-d7e7c3440052,unsupervised-machine-hallucinations-moma-dreams-f-tqi,Unsupervised — Machine Hallucinations — MoMA Dreams — F,100
1443,3984aa55-0f95-4d0c-a612-bec090616795,confetti-fo3,Confetti,50
1457,faa810f7-7b75-4c02-bf8a-b7447a89c921,sound-piece-v-ksl,SOUND PIECE V,1
1459,4819d9cd-0d02-47a0-b03f-782904a185cb,a-nn-is-phantom-obsessions-wz5,A(nn)i’s Phantom Obsessions,50
1468,71e2bed5-e224-4ead-8fea-88a8cc067dbe,filum-bop,filum,128
1470,1c4e667e-45b5-4467-a1e9-8efe8165ca0d,starquest-en3,StarQuest,111
1472,8a8bbaf1-42d3-426b-b16a-d44344988ade,bobalina-gala-apg,Bobalina Gala,10
1473,a3613c63-074d-4aaa-847d-b23a77512a90,dungeoneer-sfs,Dungeoneer,64
1475,30ba9f49-52df-46b7-8b7d-0ddb8f0b311c,phat-phonk-cmq,Phat Phonk,50
1477,8379d2a7-575f-4cde-aade-18b2aa044f7e,data-pilgrims-01-769,Data Pilgrims 01,10
1481,07a06d03-ebd2-4db1-bb86-b58e879f8d78,money-vortex-zja,Money Vortex,50
1483,82764d21-e2ec-4332-aae9-2d796cc3e35c,monica-rizzolli-fv4,Night Shoots,100
1486,98fecdee-d9f4-455a-a66b-323ecd6f5dfe,artwork-7-4uw,LMHED12.PCX,20
1487,c1f6c210-a4ed-4a11-9fdd-9da47478b5f4,artwork-3-zm3,LM10-8.PCX,20
1488,463124d1-14db-44a4-be43-1976a6c6f3f3,artwork-1-fsc,LM4-9.PCX,20
1489,7582ca98-25aa-4efa-ba38-7fb1527fa7b6,les-mutants-3-vzf,"LES MUTANTS, #3",40
