contract,token_name,created,supply_blockscout,instances,no_metadata,all_ipfs,depends_ff_cdn,depends_third_party,classes,hosts,collection_names
0xa507077d630665334cd8dc62a5fa3614000e099e,Coral Rd by Leandro Erlich,2024-03-06,1,1,0,1,0,0,ipfs/ipfs:1,,'Coral Rd by Leandro Erlich':1
0xfd79fb1749b72f04a5a956d93182cf75c6667dcd,ODYSSEY by Andrés Reisinger,2024-04-23,7,7,0,7,0,0,ipfs/ipfs:7,,'ODYSSEY by Andrés Reisinger':7
0x6906f2f1591e22ca320330712af68288efc2426d,Jardins d'Été by Quayola,2024-04-23,3,3,0,3,0,0,ipfs/ipfs:3,,'Jardins d’Été by Quayola':3
0xcc08d6a573d05e34b34a0440982798db20b3df98,"CORAL ARENA by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Préaud",2024-04-26,3,3,0,3,0,0,ipfs/ipfs:3,,"'CORAL ARENA by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Préaud':3"
0xfed46f583c3f61a5b48882c5af56a94a5f096f12,Artificial Natural History,2024-10-30,3,3,0,3,0,0,ipfs/ipfs:3,,'Artificial Natural History by Sofia Crespo':3
0x393f21c615314a346c383cce4d708a8ee270a312,[[chromatophores]],2024-10-30,1,1,0,1,0,0,ipfs/ipfs:1,,'[[chromatophores]] by Sofia Crespo':1
0x96f6ba69671e3cbc2b532727d892efd030548f0f,Temporally Uncaptured,2024-10-30,2,2,0,2,0,0,ipfs/ipfs:2,,'Temporally Uncaptured by Sofia Crespo':2
0x90a6ca6b6f7c3c1daf738b0780a4be9c6e7893cf,Breathing Language,2024-10-30,1,1,0,1,0,0,ipfs/ipfs:1,,'Breathing Language by Andrés Reisinger':1
0x5cf20fb8a4451f24b2c915f8929b8aff999f1044,Take Over Madrid,2024-10-30,7,7,0,7,0,0,ipfs/ipfs:7,,'Take Over Madrid by Andrés Reisinger':7
0xfa95bf4c4cb0f1cc6e86191218f89b84d03e1a59,Collide,2024-10-30,3,3,0,3,0,0,ipfs/ipfs:3,,'Collide by Andrés Reisinger':3
0x92152733cec744c049ea7629f4cbd7af7c43c9f7,Artificial Natural History,2024-12-19,2,2,0,2,0,0,ipfs/ipfs:2,,'Artificial Natural History by Sofia Crespo':2
0xe4a36a09ee456aba9de430f0488a782c04f5139d,Neural Zoo,2024-12-19,1,1,1,0,0,0,none/none:1,,'':1
0xa61459a983ee69e25082a2f8d934e89e04d8f158,Temporally Uncaptured,2024-12-19,1,1,1,0,0,0,none/none:1,,'':1
0xb745a2cd00f7983c71134d6f713c4e8c003aff51,Decohering Delineation,2025-01-14,1,1,0,1,0,0,ipfs/ipfs:1,,'Decohering Delineation by Entangled Others':1
0x10049dcae04c3f4b4afd9bebd96dba8adbaec170,Neural Zoo,2025-07-21,1,1,0,1,0,0,ipfs/ipfs:1,,'Neural Zoo by Sofia Crespo':1
