contract,token_name_contract,token_id,name,collection_name,image,image_class,animation_url,animation_class,metadata_fetched,token_uri_hint
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016223,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #40",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016222,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #39",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016221,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #38",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016220,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #37",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016219,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #36",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016218,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #35",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016217,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #34",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016216,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #33",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016215,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #32",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016214,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #31",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
