contract,opensea_slug,token_number,burned,viewable,name,mime_type,enrichment,image,image_class,animation_url,animation_class,collection_name,doc_keys
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860704,False,True,METASOTO #64,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/66-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=66&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860704&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db4a0,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860696,False,True,METASOTO #56,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/58-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=58&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860696&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db498,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798266,False,True,Bend #7,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798261,False,True,Bend #2,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798265,False,True,Bend #6,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798260,False,True,Bend #1,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798262,False,True,Bend #3,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798264,False,True,Bend #5,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,91641052224213995292130106305607107853658918792519691461793480796244015798263,False,True,Bend #4,,none,https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,ff-cdn,https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/preview.mp4,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860639,False,True,METASOTO AE,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/1-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=1&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860639&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db45f,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
