category,opensea_slug,contract,contract_mentions,other_addrs,http
3_bound_to_uuid_not_in_your_mapping,a2p-v1-220170168,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,a2p-v2-803071362,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,artificial-natural-history-1,0xfed46f583c3f61a5b48882c5af56a94a5f096f12,39,0x4200000000000000000000000000000000000006:27;0x92152733cec744c049ea7629f4cbd7af7c43c9f7:27;0x1122090627b3bc98f2a1c5f1eb1ef78d7628f7ac:10,200
3_bound_to_uuid_not_in_your_mapping,breathing-language-by-andres-reisinger,0x9d611547e79653c008f31462780fa2aa8838ce8a,27,0x4200000000000000000000000000000000000006:27;0x90a6ca6b6f7c3c1daf738b0780a4be9c6e7893cf:11;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
3_bound_to_uuid_not_in_your_mapping,collide-2,0xfa95bf4c4cb0f1cc6e86191218f89b84d03e1a59,36,0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
3_bound_to_uuid_not_in_your_mapping,cosmos-simulacrum-rgb-7087313-353-371-by-casey-reas,,0,,404
3_bound_to_uuid_not_in_your_mapping,decohering-delineation,0x4200000000000000000000000000000000000006,27,0xb745a2cd00f7983c71134d6f713c4e8c003aff51:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-101460251,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-11629051,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-133208097,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-144950804,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-169858785,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-218602425,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
3_bound_to_uuid_not_in_your_mapping,infinite-entropy-by-rafael-rozendaal-232159173,0x4200000000000000000000000000000000000006,27,0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3;0x5555555555555555555555555555555555555555:3,200
