dir_or_file,s3_prefix,cid,n_files,bytes,gw_ff,gw_public,verified
https://cdn.feralfileassets.com/previews/527a291d-49f5-4ddc-81f6-0331f9e08be9/1667600061/,previews/527a291d-49f5-4ddc-81f6-0331f9e08be9/1667600061/,QmUQKeKx8T4mZkXdhTdGXELa5sRPjCPW9RadoBWw7CbHoo,51,105493508,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/7f70faea-dc2a-4613-b758-b53b9bd6d00d/1666620445,thumbnails/7f70faea-dc2a-4613-b758-b53b9bd6d00d/1666620445,QmahBFcjJ7Zf5NreYeNnsaqTw2nDz12JqJirVuG42Rsa2U,1,444361,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/7f70faea-dc2a-4613-b758-b53b9bd6d00d/1667638386/,previews/7f70faea-dc2a-4613-b758-b53b9bd6d00d/1667638386/,QmQJ3GSPjVZwRFNJCz2ReSuPKN55W1yjTxuPyvry5i1tBs,55,108776123,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,thumbnails/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842966,QmdGb4DPTDcUZkZkZZ48jM6h19fkvdMF4cX7zagpTUWTrY,1,498772,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/,previews/d2bc4191-7730-45d8-9d1f-685d494f3e9e/1666842992/,QmYwruHj78vr3fqABcUf6jAdManWMYdTgP3Pwmt2EEP9of,1,13136963,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/867218d3-8421-4e45-b6b9-eca2fef44f5d/1668730526,thumbnails/867218d3-8421-4e45-b6b9-eca2fef44f5d/1668730526,QmVzVfv8yfsGRhuPVWikiVcm3h8L1YUt5J7Uox3pcLcrTF,1,176103,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/867218d3-8421-4e45-b6b9-eca2fef44f5d/1665618979/,previews/867218d3-8421-4e45-b6b9-eca2fef44f5d/1665618979/,Qmc5JgUuoYTAxfXotdiavLSYtUcHwTAFDBNFWAoiDaZT7F,1,508396427,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/712ddea8-2492-4357-9f03-d1ff7e9ad4cf/1668642023/,previews/712ddea8-2492-4357-9f03-d1ff7e9ad4cf/1668642023/,Qmf6fw4yAAfsN4xremYtztNvojEHqPXu9DNjUHqaM3NrvL,66,48189149,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/6ed56114-2768-4625-84a9-7eda5baad6b8/1673657166/,previews/6ed56114-2768-4625-84a9-7eda5baad6b8/1673657166/,QmYSAnUL6rUeXCqcSv6wPAgMHzvKRdXrCFA18DnRNNasXL,6,14275407,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/f5d3ffb6-99fb-4c50-ac82-d9db3cfd3963/1666639443,thumbnails/f5d3ffb6-99fb-4c50-ac82-d9db3cfd3963/1666639443,QmYPw9aoFEe9pz3i4kNJWuiqjXLyd1Ehh5nnBwabTyz7eB,1,472040,ok,public_pending,yes
