edition,token_id,old_metadata_cid,new_metadata_cid
57,15042014439770355205730296321097090521853295916950766059900103364979980239586,QmTkbb5es7T7faiv3HyvJ5AzFaJcr7EfasHkwdHcDTxKnC,QmTMDieZ261yNqHFMCQKWVMzfyXKRG3WayUDJAFVozKVCv
58,15042014439770355205730296321097090521853295916950766059900103364979980239587,QmSRw1BHhakqvdbWvtNvQNqoesKuuj6q8cy5x7FUGaWGdF,QmQKZYo5JmFkgHqZvLVoWgvYZ1TRJMahe1LVFqGLhjxxbw
59,15042014439770355205730296321097090521853295916950766059900103364979980239588,QmSuf4gqH2w6a6fbxbyaS3fRe1XYJ5AvgnZgvaFC1cmaZS,QmSBXGe3KrLoP3bYHdeecyYLURtpG4AWJw1FPWFGUCVCiP
60,15042014439770355205730296321097090521853295916950766059900103364979980239589,QmSdhTAW75pXunFhtwZJeYWqzYBTcC8F8m5d8bQP3k5PUQ,QmRgCg5pKdDbWsoXrKEr9VmfeSYwT4H5aMFyifZ5yC127W
61,15042014439770355205730296321097090521853295916950766059900103364979980239590,QmRmzCSdHbcrQryM9mebeZVaRvy8ufUgCwtsU7jHa1xKLP,QmbPwEqD31x48zAnznQJ1AvACx8ReqVw2YsK9qrAjWMAQj
62,15042014439770355205730296321097090521853295916950766059900103364979980239591,Qmc9FGmYfPjpn3odTFC1xyfYX73M67VPY8KSjfPcbRjjT5,QmZ383yBywH7KMHBJXy9jgWsnT7K3xdpa9AiKbWA4SMsXR
63,15042014439770355205730296321097090521853295916950766059900103364979980239592,QmX5j43bnWg21JGrAAft4WYFnDgjjWjfDj6o3K7wMhj3Sq,QmdkpUH38J2UhTJiT9dVz59WoZF2EZQYwUqrFJgQEKbQjq
64,15042014439770355205730296321097090521853295916950766059900103364979980239593,QmRHgSE8V3qEcjCHKM7tnZ1JMoJHBkJqrNL2Uh4pU5Jjdo,QmZtNkcwds7DQepVaZMWBj7HWZ1SDCiCUoG13yp9Db34A1
65,15042014439770355205730296321097090521853295916950766059900103364979980239594,QmcPqyFHykRhtjY8moDTt76R2BfAxJJgWpmYpqRgAZD4TG,QmfR1S6W8nKXVjKXHaxZ8wxHxekPZrtVfYErrV7TfFKU2V
66,15042014439770355205730296321097090521853295916950766059900103364979980239595,Qmb5TZAoAEPCr5gubdomQsps8p8buwrZcX5xK3N9dy66Fu,QmeSRNCujSnxsLyU9QAfntwr5AdXTKarHNYW8bNxN43u2z
0,23054627654022293378557484339859314570662620440316285194737095994444934294386,QmQ9qDw2tUGK4EqBj45Ufc5zqE6QzehvPmvpUGWjgRUZha,QmNyva7NM9zvf2JiGxapGZy6hPwVsq4qWeCo19ozH1YE7j
1,23054627654022293378557484339859314570662620440316285194737095994444934294387,QmPpFfqdLDre3vuTk4RG3BSj22ai68ZN14UvKKYLNvntTq,QmV4nevKPpuBZdXKCc1btT85TfHCbY41MdBKQDLfNhEEXW
2,23054627654022293378557484339859314570662620440316285194737095994444934294388,QmfHhnDCf1EdAqfh7UMk2rH1tq2RikPcBbBDXrj8duMMPa,QmbAyUHETajcMsjiiCx51EDAgHuiSGqHhBC28rm1JDZb3M
3,23054627654022293378557484339859314570662620440316285194737095994444934294389,QmPTSTVzATb882tBy5MHR3DwEHNyJnAosVUJ6sVLy3ND89,QmZ777cCdYRur6wH88qza16bUtK1z4j5KCBxBxb1XS7qvZ
4,23054627654022293378557484339859314570662620440316285194737095994444934294390,Qmc15M2NBBP5DZfABaCwq3f79b1jbwNX7MCRXazDmBZDJy,QmSAoxx6wr6yqudXw1GiAtj63Ruu9fFEnCje5pDK7YHmaN
5,23054627654022293378557484339859314570662620440316285194737095994444934294391,QmPY54j5KGmN5pBcuGtWdiVCkZPYthzsrZQMZ7WUvbpTch,QmQJcVVRWm2f5SxLTScWubB4BbPwQuzVmgfHp7EKhX7cGo
0,25811853076941608055270457512038717433705462539422789705262203111341130500760,QmRTUCojH6JHVGFPwc4aFARYeP4z1dUSyH17kn1snT39vZ,QmUJokKyaPpgHSiMmmMABtWfFB6QT4sUFSzWoQycHhdama
1,25811853076941608055270457512038717433705462539422789705262203111341130500761,QmcsfdpExevcCrDSNpdo2j4vqYwsetRTt16dEUVueJobAu,Qmbs41FozcNJiTppmsnaTfdNAfXBBBP2iSreFwUguDtuDS
2,25811853076941608055270457512038717433705462539422789705262203111341130500762,QmcHhfLL7H95QMo2akv71f2aoEX4MnBZU33FPcJjajLde5,QmTJbvkhEojouBqXxw31JUSNAVzg2kBdaQPy6QKCUYF6cZ
3,25811853076941608055270457512038717433705462539422789705262203111341130500763,QmbG2jGie94FgFaY2SYkRG9ExBF6oNzuAdFAZ1iwFjRnea,QmNmVGxbbSrCAbz4jM6RH91cEdUq9hDdzRHvUuVNaiMoWz
4,25811853076941608055270457512038717433705462539422789705262203111341130500764,QmbwXWjHQeiacx6E7ZewJDiAUShii7aBiFzWYPKbkXa26f,Qmaibu2Som6ETeoaSMYLkq46nNRd64TB5pSnvGHVibGxnR
5,25811853076941608055270457512038717433705462539422789705262203111341130500765,QmXXxwTasg6T3f17icnDPrHQaGiGFziGW9hs6TynqaFqxC,QmQ1nfZzsJRrsJwDLpGykxb5gJXTEgQbgpoDRshyM636hV
6,25811853076941608055270457512038717433705462539422789705262203111341130500766,QmUKPcxRK5kpBWwLjr12639f2d4EJED6ELffeB5a6Xp1hR,QmecP1Wn4daBZVTmZFNDK3eHkMjVxUZaEzp5qHLJQB2EzQ
7,25811853076941608055270457512038717433705462539422789705262203111341130500767,QmVpCmLzphKQzAbsqp4N1nKJ8TfAmzDf3v3jhZd293CitV,QmWpHpmiJGKg4A6WN7nRAYfvHHaJh8DxagYR6CFdNKkw4Y
8,25811853076941608055270457512038717433705462539422789705262203111341130500768,QmXZVuyCyaTsGhnHqnjuKBNYeSFqKmEZZm3szKVpNGU1s3,QmafQKBECLA215pT7XDSH74xpju8ttpAzPtBg2eQuT2QNt
9,25811853076941608055270457512038717433705462539422789705262203111341130500769,QmaeS8QfaxvuvNn8JeAXTiRgiTiVjq5DDWrYfKyrPekXc1,QmNfyhxetdf3GPDhXUMNEhduKTo2LZz68Yy1mTMRJqBmE4
10,25811853076941608055270457512038717433705462539422789705262203111341130500770,QmRMMVfu94sC8D8GNanP8KcLjYjiUQR75KHCaTjFLfeJ12,QmPvkMcTBYnmpu3e1eNSFqkxfzSS1Kn6CjcEKqYj4Z6bfH
11,25811853076941608055270457512038717433705462539422789705262203111341130500771,QmWaA7uZkp2uXp4AfYdkq51ExSruWu1jpcyBNNUe76SrJB,QmSDv5cmFnFaPz8DHsoJMreYzQZVGaJHGt2W34znXGiQKo
12,25811853076941608055270457512038717433705462539422789705262203111341130500772,QmejmEQMR8kY8qmUprjBcsycZqJWRs5V2A9nF7bxhx98BX,QmSRcmE7bWNVGLvjNNvZ17gBmWosavXGNGwMmv455vEXDz
13,25811853076941608055270457512038717433705462539422789705262203111341130500773,QmeEe4xeFcaoQNWgmMGmWknKhj3jWgWMR3f5WaviGctyLx,QmcniYnCeqoRi5d28z8e5FqWzcH3yqumCkZXVYaUi8CGNu
14,25811853076941608055270457512038717433705462539422789705262203111341130500774,QmPxcD2csVrPujSYqXxTrNSsuKstfhPmBv7tUmc56Fv4Rw,QmezusvH71aekpLJ2tPkz2zV4aWHPK8qhkAsmwAznGAFun
15,25811853076941608055270457512038717433705462539422789705262203111341130500775,QmXtJnuP7rxHVcHu7wLec8thfPh9pyKevG3qdKqgakcJr3,QmNZX9tiWB5H8ipZ6VfGJryh2CkLEQ3aZdRpEv2gFBy4EH
16,25811853076941608055270457512038717433705462539422789705262203111341130500776,QmRG4Usr2d4hrLnZrFDyqs5YDA8iLVJ8pTQQFVuXp87a7U,QmVbwsarcNy8ut2kyie1WYDg2bTSxPCBuRHg4VqDVqcit2
17,25811853076941608055270457512038717433705462539422789705262203111341130500777,QmQ6vDVbhZSEzM5ur2WrXcmtBEQW51PGjnMWhHwThxAsJx,QmZpa8EShTj6wsvhGZnSmFbQo6SmLjj79Qs1evnivdFCeg
18,25811853076941608055270457512038717433705462539422789705262203111341130500778,QmfH9uYpTnnhbRV5ZtwsjDNt1AjEtsn7D4AbS9qBEybbgo,QmcTMLZaBojGvA9ayEmXFBCGCjxSK3edhzZJjCYFZjSMp7
19,25811853076941608055270457512038717433705462539422789705262203111341130500779,QmXrSXHQvFfufUGXeEZDHCZAwCs9iKHwzqbME6rdZfX48D,QmPcuJVbVAzdybfVjfMgsq687XGULe1DyNku14EQ7D6Lag
20,25811853076941608055270457512038717433705462539422789705262203111341130500780,QmcqXyBpNfLMuTBCnsyhYzq7bwpBMJo68HerDXXpgHi99K,QmQUgxNdHwYgJBSsp2CRYRgrenqhwKiFWiNFv2Xxm28NK4
21,25811853076941608055270457512038717433705462539422789705262203111341130500781,Qmd9cSL7eBX1p4tXuP16LxcG5LPVZEfDxbM4BmXK4zPiaP,QmPiUAsWjbvTJzgv92UYyZ6x3TwKCHmpGiNWdmvmAXjRJs
22,25811853076941608055270457512038717433705462539422789705262203111341130500782,QmQM8ofsd1tGCT7TDnZqojPLhLZGjqBip4BmpGXgL5Xynj,QmNUWyyHyYUZfQWb7p98PocmeTEG1SfNX2CKuQwepTw9o6
23,25811853076941608055270457512038717433705462539422789705262203111341130500783,QmaLmHzWMPaXWLekicwMjW3EfA279fAiLZSrUDNifE24Kw,QmU8ECmmyqKwwMn4xjTi7mHFFFwQfAhP1T6hZWy1g9cTWA
24,25811853076941608055270457512038717433705462539422789705262203111341130500784,QmPjPNBee8oMT1hRAbwrVQZyDD1AuiYE5mFMfmYc5QcTB4,QmX7ja9WGVazs72jorkBsJmGLYVfgeSGjxhvQTeKrUZ9DB
25,25811853076941608055270457512038717433705462539422789705262203111341130500785,QmeeMyBRkBJkojLy315sZi952wgp6KgiDRepZqj9Lnh3Q9,QmVuvdGFCwxP5SKbCgHTBFDhheq5PUyTTbXLEB1APszucr
26,25811853076941608055270457512038717433705462539422789705262203111341130500786,QmYbHMVyZkGt6kMLKTLZfvA388H14rkxyxuUgWWZi6Yx1R,QmcNFinQjYwGgdAd7xQH2MU589KZJmGxB9XpKLbYYMhdCG
27,25811853076941608055270457512038717433705462539422789705262203111341130500787,QmVsGMDqsGLkiexyiiPmJLTNmTxjgy3bt1VXmFam2d3Rzo,QmQ4N6J7GYN2RbLmBxFgdDX3U9xyexQk9wKTgf9RtkQDSm
28,25811853076941608055270457512038717433705462539422789705262203111341130500788,QmWFLtutyVguHNE534fYNDyBAk2J6XpZs8RJfNjhq6Q11a,Qmav5HR6QB1SmSvmEwp1sxoccfew7auGsT5ksbN4pKZ1rs
29,25811853076941608055270457512038717433705462539422789705262203111341130500789,Qma9FsdnJgUkdYzDLHC9DbdcWa6Eq3vBVafx6wLFu1KtBh,QmSf7FkvqDieciC8pQMBKEe7LS89sj6GTyATJhHqcgYP5n
30,25811853076941608055270457512038717433705462539422789705262203111341130500790,QmTadaHfmkXfARB2TY8kBwUZAB57MYzGr8ihrwBhnrmv1m,QmYZjnUmgRbcaRnBuq2CiYFdTYirhTexPxJe92qtWTanNH
31,25811853076941608055270457512038717433705462539422789705262203111341130500791,QmWi7nNgB5XNYooemFcNbnXf6NZftsMBqNDFcFJpRNAdvK,QmQsDw8Jws5g2p9SxnYYmAtXG675ugfE7e1BVzbBNdKWxW
32,25811853076941608055270457512038717433705462539422789705262203111341130500792,QmS6gh6QiX3KvggPUntSmeNmF36wdwtqztQUx4WtcivPug,QmQqmSn5Ai4xBsX1AXAtnhe8AfL4xcjBKCbiywrKC8TLVE
33,25811853076941608055270457512038717433705462539422789705262203111341130500793,QmZCJxDYGhkefjBLjh9EBzFEjctSgVE2FEDrVzXM7GPbTk,QmTLiSgecbd5h8HDH6iz2LM1BBLbBrM8xP9abAJxb2N2vP
34,25811853076941608055270457512038717433705462539422789705262203111341130500794,QmdSH3sw5HZ6nXkutF9RgeZRDuRmufVLLfRKEQk1NEZE45,QmcSoEPheF5SzKJxx17ugtwGRTXPmHkcjLbVnFu6fyYczS
35,25811853076941608055270457512038717433705462539422789705262203111341130500795,QmY7g42rUH6NhsBFxdg1g8YRY6EKX4rBfC4rw3KJxSstj2,QmTrHT8scD6xJzU8yJvCTzP1fxxh6z41EJeLzn5Kw1Lmxz
36,25811853076941608055270457512038717433705462539422789705262203111341130500796,QmWLbVGVC9UMLkZoDFJJttdZuMAdLBBL2wUr4jwxpHP314,QmNR51hLktSWjYcR8b1zBQoNnn6WX4k3euQS1M8VtdTN1B
37,25811853076941608055270457512038717433705462539422789705262203111341130500797,QmaSdsxTQzAQjSgNuDEiJGuMB5zFaVU3Vws2ZDNHLeRBhP,QmYNLcDVmaJDvbCRnCQeaXzYqdkWCJ73tn4E32PvM7znhy
38,25811853076941608055270457512038717433705462539422789705262203111341130500798,QmWXJfzNwa79h8tiAuDijBDvKLGM4SDPhG1v28ysjk4d6n,QmYw1oCNswhXqpoqHLW1YdPKKQb3dS3pLNpSYrCaFy4AYo
39,25811853076941608055270457512038717433705462539422789705262203111341130500799,QmPPHwEvGdjAGC26agQowKjHqUKceRum8yn38jJejoi4Xw,QmZvVhLy6ncPgM8zky4cMve8PbAKk8KD8JtNvEW1TGSqr8
40,25811853076941608055270457512038717433705462539422789705262203111341130500800,QmejSUPSKkPqt6TsSa96gQY67Y9S1oBbNhQfgKoMaRLrFG,Qmae9hRZi9ifaeaKUg4Mcj8kViyowEH7bzn2ireg6WuLGL
