edition,token_id,old_metadata_cid,new_metadata_cid
74,58987192466841004628201111767945836073083865759174394385352028392528079468161,QmXyp6Ct7JYAqTXhPZJHMxcHa1Hf7CAZ1zy6qEwmPVS9zr,QmUKmgb6KtTzVGuiVFmAME78FCAwCdttjrLP8YW6s7iRua
75,58987192466841004628201111767945836073083865759174394385352028392528079468162,QmXhhJq2pwbKE1PG6YDwPXVTR7TrLk1khakUdmWwAeo9ET,QmQ2JoDj49WWEhS5sTGjHv9hQwfCZJZZaSWCCcX6TqzdN2
76,58987192466841004628201111767945836073083865759174394385352028392528079468163,QmcTn6qKTVNczS1KEsVkYvr8z9YXCbXBQs7wcYAExmUGBs,QmUBtkJY8YwdTpXxCQ3tt9b1tascJDiXTomNN2MJXrCzze
77,58987192466841004628201111767945836073083865759174394385352028392528079468164,QmWTAzCiTgnu8S4uMtcnf7Jzs8XnsMS3hh6fVWwjgc8uWM,QmV7waFUvuwJMidC2JaFEZP9QzFk2kmCrMhQhb8LtJNeGU
78,58987192466841004628201111767945836073083865759174394385352028392528079468165,QmYxBw64M3dzhCtEd7TLaqBsWqTAhSDdgnK8ZTRvZBuM7y,QmSCk7Gj4NZPhBeygf61aHEuRi8cc28xQ3Ts5dkA31zVnR
79,58987192466841004628201111767945836073083865759174394385352028392528079468166,QmfGTGWg83VZGs6iR1Nak5drTz6SB1HaB3MAorUs1RD3GB,QmYmubHE8Hvq8BYhhMGE3LV7msSbQEWwuo9inXz9cLDZU8
80,58987192466841004628201111767945836073083865759174394385352028392528079468167,QmUMTWo8NzDbo3zMEYQt67zsgmYnNjHTNYowcchvCTZXxW,QmNVnwj18sGzvnTQxS5FAoD5fryuizmtkKvJYXvNzvkjKM
81,58987192466841004628201111767945836073083865759174394385352028392528079468168,QmV4yfTmoW5bTk66KgaMpBnJ3rcbJr1TdrgHvJNmrM8Cbs,QmZ7jKSD4L7Uycvj7YTDy9YjW6v9y5Dug9K4LRZSFfGrQt
82,58987192466841004628201111767945836073083865759174394385352028392528079468169,QmZFajLGspq36GJrFXdNyoarFRgkB2W1xKRnbLoN8vnn9G,QmXjgaHbdZFo1UXq8v5SaQmr7cY3v7PkESBGdo2XoghkpL
83,58987192466841004628201111767945836073083865759174394385352028392528079468170,QmaQBcF6svHbAk3EcoeAi59ahZ7q9dHJTwiPvhhbdXPFDe,Qma4fotAMDEKDV5V2xfnUQXMXnfXWrHX6ku96eGZdbSPPe
